voice_name,voice_id,gender,provider
adam,s3TPKV1kjDlVtZbl4Ksh,male,ElevenLabs v3
brad,f5HLTX707KIM4SzJYzSz,male,ElevenLabs v3
jeff,gs0tAILXbY5DNrJrsM6F,male,ElevenLabs v3
josh,nzFihrBIvB34imQBuxub,male,ElevenLabs v3
titan,dtSEyYGNJqjrtBArPCVZ,male,ElevenLabs v3
ember,WtA85syCrJwasGeHGH2p,female,ElevenLabs v3
eve,BZgkqPqms7Kj9ulSkVzn,female,ElevenLabs v3
hope1,OYTbf65OHHFELVut7v2H,female,ElevenLabs v3
ivanna,yM93hbw8Qtvdma2wCnJG,female,ElevenLabs v3
lily_wolff,qBDvhofpxp92JgXJxDjB,female,ElevenLabs v3
